chrX:100624803-100627203,ENSG00000000003.10$TSPAN6$chrX$99894988$-,0.54
chrX:100705204-100706604,ENSG00000000003.10$TSPAN6$chrX$99894988$-,0.35
chrX:100624803-100627203,ENSG00000000005.5$TNMD$chrX$99839799$+,0.46
chr1:169711059-169712459,ENSG00000000460.12$C1orf112$chr1$169631245$+,0.41
chr1:169726059-169728259,ENSG00000000460.12$C1orf112$chr1$169631245$+,0.41
chr1:27643289-27645289,ENSG00000000938.8$FGR$chr1$27961788$-,0.63
chr6:143451463-143453863,ENSG00000001036.9$FUCA2$chr6$143832827$-,0.36
chr6:53545402-53547802,ENSG00000001084.6$GCLC$chr6$53481768$-,0.39
chr6:53548402-53549002,ENSG00000001084.6$GCLC$chr6$53481768$-,0.38
chr1:24413510-24415710,ENSG00000001460.13$STPG1$chr1$24743424$-,0.42
chr6:46098263-46100663,ENSG00000001561.6$ENPP4$chr6$46097730$+,0.5
chr6:46113063-46115463,ENSG00000001561.6$ENPP4$chr6$46097730$+,0.52
chr7:117499346-117500146,ENSG00000001626.10$CFTR$chr7$117105838$+,0.47
chr7:117500946-117503146,ENSG00000001626.10$CFTR$chr7$117105838$+,0.41
chr7:117538746-117539346,ENSG00000001626.10$CFTR$chr7$117105838$+,0.4
chr7:92258686-92261086,ENSG00000001629.5$ANKIB1$chr7$91875548$+,0.46
chr7:92135286-92136286,ENSG00000001630.11$CYP51A1$chr7$91772266$-,0.51
chr7:92258686-92261086,ENSG00000001631.10$KRIT1$chr7$91875480$-,0.55
chr11:64303128-64304528,ENSG00000002330.9$BAD$chr11$64052176$-,0.38
chrX:2466559-2468359,ENSG00000002586.13$CD99$chrX$2609220$+,0.36
chrX:2606759-2608559,ENSG00000002586.13$CD99$chrX$2609220$+,0.51
chrX:2921559-2923159,ENSG00000002586.13$CD99$chrX$2609220$+,0.38
chr4:11417776-11419176,ENSG00000002587.5$HS3ST1$chr4$11431389$-,0.79
chr7:150751912-150752512,ENSG00000002726.15$AOC1$chr7$150521715$+,0.45
chr7:150851112-150853512,ENSG00000002726.15$AOC1$chr7$150521715$+,0.43
chr7:150751912-150752512,ENSG00000002933.3$TMEM176A$chr7$150497491$+,0.54
chr7:150851112-150853512,ENSG00000002933.3$TMEM176A$chr7$150497491$+,0.45
chr12:8889604-8891204,ENSG00000003056.3$M6PR$chr12$9102551$-,0.35
chr7:8118370-8119570,ENSG00000003147.13$ICA1$chr7$8302317$-,0.39
chr7:8249170-8251170,ENSG00000003147.13$ICA1$chr7$8302317$-,0.44
chr2:201080277-201081277,ENSG00000003400.10$CASP10$chr2$202047604$+,0.44
chr2:201100477-201101477,ENSG00000003400.10$CASP10$chr2$202047604$+,0.51
chr2:201025677-201025877,ENSG00000003402.15$CFLAR$chr2$201980827$+,0.4
chr2:201080277-201081277,ENSG00000003402.15$CFLAR$chr2$201980827$+,0.55
chr2:201100477-201101477,ENSG00000003402.15$CFLAR$chr2$201980827$+,0.5
chr7:127585946-127588146,ENSG00000004059.6$ARF5$chr7$127228399$+,0.41
chr7:127589146-127591546,ENSG00000004059.6$ARF5$chr7$127228399$+,0.55
chr17:28354974-28356974,ENSG00000004139.9$SARM1$chr17$26691378$+,0.59
chr17:28357977-28359577,ENSG00000004139.9$SARM1$chr17$26691378$+,0.65
chr12:2769634-2770634,ENSG00000004478.5$FKBP4$chr12$2904119$+,0.44
chr3:49975767-49977767,ENSG00000004534.10$RBM6$chr3$49977440$+,0.37
chr7:93200887-93201087,ENSG00000004766.11$CCDC132$chr7$92861653$+,0.38
chr19:35746099-35748499,ENSG00000004776.7$HSPB6$chr19$36248980$-,0.41
chr19:35748899-35751099,ENSG00000004776.7$HSPB6$chr19$36248980$-,0.46
chr19:35746099-35748499,ENSG00000004777.14$ARHGAP33$chr19$36265434$+,0.47
chr19:35748899-35751099,ENSG00000004777.14$ARHGAP33$chr19$36265434$+,0.4
chr16:23642279-23644479,ENSG00000004779.5$NDUFAB1$chr16$23607677$-,0.37
chr7:95667888-95668688,ENSG00000004799.7$PDK4$chr7$95225803$-,0.38
chr7:95669488-95670088,ENSG00000004799.7$PDK4$chr7$95225803$-,0.4
chr3:50359569-50360369,ENSG00000004838.9$ZMYND10$chr3$50384283$-,0.4
chr7:96250688-96251688,ENSG00000004864.9$SLC25A13$chr7$95951459$-,0.55
chrX:11124280-11125680,ENSG00000004961.10$HCCS$chrX$11129421$+,0.52
chr17:7239681-7241681,ENSG00000004975.7$DVL2$chr17$7137864$-,0.49
chr16:2750399-2752199,ENSG00000005001.5$PRSS22$chr16$2908171$-,0.46
chr16:2883799-2884599,ENSG00000005001.5$PRSS22$chr16$2908171$-,0.6
chr16:2903599-2904599,ENSG00000005001.5$PRSS22$chr16$2908171$-,0.49
chrX:119359437-119360637,ENSG00000005022.5$SLC25A5$chrX$118602363$+,0.47
chrX:119481037-119483437,ENSG00000005022.5$SLC25A5$chrX$118602363$+,0.7
chrX:119572637-119574037,ENSG00000005022.5$SLC25A5$chrX$118602363$+,0.35
chr17:5404880-5406480,ENSG00000005100.8$DHX33$chr17$5372380$-,0.42
chr17:34978781-34980181,ENSG00000005156.7$LIG3$chr17$33307513$+,0.38
chr16:20807278-20809078,ENSG00000005189.15$AC004381.6$chr16$20817751$+,0.36
chr9:35100403-35102403,ENSG00000005238.15$FAM214B$chr9$35116338$-,0.45
chr7:95435288-95437488,ENSG00000005421.4$PON1$chr7$95025673$-,0.51
chr7:75822882-75824482,ENSG00000005486.12$RHBDD2$chr7$75471920$+,0.44
chr7:75865682-75867682,ENSG00000005486.12$RHBDD2$chr7$75471920$+,0.48
chr6:82248283-82250283,ENSG00000005700.10$IBTK$chr6$82957471$-,0.39
chr13:77327665-77329265,ENSG00000005810.13$MYCBP2$chr13$77901185$-,0.54
chr13:77031265-77032265,ENSG00000005812.6$FBXL3$chr13$77601330$-,0.44
chr17:36481947-36483755,ENSG00000005955.8$GGNBP2$chr17$34900737$+,0.37
chr17:36542751-36544151,ENSG00000005955.8$GGNBP2$chr17$34900737$+,0.38
chr17:44343432-44345232,ENSG00000005961.13$ITGA2B$chr17$42466873$-,0.41
chr17:47831834-47833434,ENSG00000006025.7$OSBPL7$chr17$45899200$-,0.45
chr17:32945582-32947382,ENSG00000006042.7$TMEM98$chr17$31254928$+,0.59
chr17:32984182-32986182,ENSG00000006042.7$TMEM98$chr17$31254928$+,0.38
chr17:32990182-32991382,ENSG00000006042.7$TMEM98$chr17$31254928$+,0.4
chr17:7239681-7241681,ENSG00000006047.8$YBX2$chr17$7197934$-,0.53
chr17:7395081-7396681,ENSG00000006047.8$YBX2$chr17$7197934$-,0.49
chr16:3284600-3286600,ENSG00000006194.6$ZNF263$chr16$3313743$+,0.5
chr16:3303200-3305000,ENSG00000006194.6$ZNF263$chr16$3313743$+,0.45
chr16:57393688-57395688,ENSG00000006210.6$CX3CL1$chr16$57406370$+,0.47
chr16:57461888-57462688,ENSG00000006210.6$CX3CL1$chr16$57406370$+,0.45
chr17:50397439-50398639,ENSG00000006282.15$SPATA20$chr17$48620419$+,0.45
chr17:50411239-50412839,ENSG00000006282.15$SPATA20$chr17$48620419$+,0.44
chr17:50648039-50649039,ENSG00000006282.15$SPATA20$chr17$48620419$+,0.44
chr7:98380488-98380688,ENSG00000006453.9$BAIAP2L1$chr7$98030380$-,0.7
chr7:98380888-98382288,ENSG00000006453.9$BAIAP2L1$chr7$98030380$-,0.58
